store_id,city_id,geo_cluster,shipping_costs_mean,shipping_costs_std,lead_time_days_mean,lead_time_days_std,delay_probability_mean,delay_probability_std,delivery_time_deviation_mean,delivery_time_deviation_std,route_risk_level_mean,disruption_likelihood_score_mean,supplier_reliability_score_mean,traffic_congestion_level_mean,weather_condition_severity_mean,warehouse_inventory_level_mean,centroid_lat,centroid_lon,n_records
0,0,5,461.06287383277305,316.0657685953616,5.202010356752869,4.502925545295869,0.7099980017343098,0.3188152017627239,5.155757843722569,4.198933300218732,6.960431323058766,0.8087738156285962,0.5117951984123028,5.103523901815684,0.5023148660549124,301.2781637217409,31.619411105303094,-118.00300438338726,2108
1,0,5,461.06287383277305,316.0657685953616,5.202010356752869,4.502925545295869,0.7099980017343098,0.3188152017627239,5.155757843722569,4.198933300218732,6.960431323058766,0.8087738156285962,0.5117951984123028,5.103523901815684,0.5023148660549124,301.2781637217409,31.619411105303094,-118.00300438338726,2108
2,0,5,461.06287383277305,316.0657685953616,5.202010356752869,4.502925545295869,0.7099980017343098,0.3188152017627239,5.155757843722569,4.198933300218732,6.960431323058766,0.8087738156285962,0.5117951984123028,5.103523901815684,0.5023148660549124,301.2781637217409,31.619411105303094,-118.00300438338726,2108
3,10,13,473.81239874924114,313.0921749904801,5.2438285197017,4.520493139106728,0.686143059855276,0.3290104580665846,5.129013591862288,4.13319989894104,6.974845417977549,0.8007251781300069,0.4989676784858188,4.921006577777173,0.492737955283802,320.3201976362309,47.194852452829636,-87.73536084583831,1180
4,10,13,473.81239874924114,313.0921749904801,5.2438285197017,4.520493139106728,0.686143059855276,0.3290104580665846,5.129013591862288,4.13319989894104,6.974845417977549,0.8007251781300069,0.4989676784858188,4.921006577777173,0.492737955283802,320.3201976362309,47.194852452829636,-87.73536084583831,1180
5,5,2,437.22750748284267,309.80964629220125,5.217698330821205,4.4646883302190306,0.7059296070947279,0.3188773228153594,5.3115667407341265,4.100643630957712,7.174807504672788,0.795406105635623,0.504638409927769,5.041253696190719,0.49645291828618265,291.66188590645487,39.24994882610624,-103.61754337472698,1069
6,5,2,437.22750748284267,309.80964629220125,5.217698330821205,4.4646883302190306,0.7059296070947279,0.3188773228153594,5.3115667407341265,4.100643630957712,7.174807504672788,0.795406105635623,0.504638409927769,5.041253696190719,0.49645291828618265,291.66188590645487,39.24994882610624,-103.61754337472698,1069
7,5,2,437.22750748284267,309.80964629220125,5.217698330821205,4.4646883302190306,0.7059296070947279,0.3188773228153594,5.3115667407341265,4.100643630957712,7.174807504672788,0.795406105635623,0.504638409927769,5.041253696190719,0.49645291828618265,291.66188590645487,39.24994882610624,-103.61754337472698,1069
8,0,5,461.06287383277305,316.0657685953616,5.202010356752869,4.502925545295869,0.7099980017343098,0.3188152017627239,5.155757843722569,4.198933300218732,6.960431323058766,0.8087738156285962,0.5117951984123028,5.103523901815684,0.5023148660549124,301.2781637217409,31.619411105303094,-118.00300438338726,2108
9,15,6,459.5114820193486,310.9691300589441,5.116854782680421,4.443831397126428,0.7049716099552569,0.31998999654595334,5.196399949347326,4.155608017502504,6.970678932262397,0.8057801408126948,0.5078521413170971,4.994591608710823,0.49925682801374766,295.62897219967766,39.16046734725579,-71.82399357799233,2637
10,4,14,456.34436870524775,308.2366351192471,5.093510423499005,4.451186045771509,0.7042293781764576,0.32333228917120954,5.245020571506468,4.116159993183627,6.8346008787659915,0.787195827391792,0.5187145583772762,5.109633249644481,0.5189403187011217,293.6441033116342,46.801293580585785,-107.9120957707863,1194
11,4,14,456.34436870524775,308.2366351192471,5.093510423499005,4.451186045771509,0.7042293781764576,0.32333228917120954,5.245020571506468,4.116159993183627,6.8346008787659915,0.787195827391792,0.5187145583772762,5.109633249644481,0.5189403187011217,293.6441033116342,46.801293580585785,-107.9120957707863,1194
12,0,5,461.06287383277305,316.0657685953616,5.202010356752869,4.502925545295869,0.7099980017343098,0.3188152017627239,5.155757843722569,4.198933300218732,6.960431323058766,0.8087738156285962,0.5117951984123028,5.103523901815684,0.5023148660549124,301.2781637217409,31.619411105303094,-118.00300438338726,2108
13,8,17,468.01673136136867,319.3624051711992,5.1809309700297534,4.496923018145188,0.6979855984252232,0.32780513573063985,5.333913170879832,4.105510182701657,7.071339500099796,0.7999985841657298,0.515596666683195,4.996737492847997,0.4938058976713754,310.88910769165886,32.04807939390944,-94.84465814490913,1616
14,8,17,468.01673136136867,319.3624051711992,5.1809309700297534,4.496923018145188,0.6979855984252232,0.32780513573063985,5.333913170879832,4.105510182701657,7.071339500099796,0.7999985841657298,0.515596666683195,4.996737492847997,0.4938058976713754,310.88910769165886,32.04807939390944,-94.84465814490913,1616
15,8,17,468.01673136136867,319.3624051711992,5.1809309700297534,4.496923018145188,0.6979855984252232,0.32780513573063985,5.333913170879832,4.105510182701657,7.071339500099796,0.7999985841657298,0.515596666683195,4.996737492847997,0.4938058976713754,310.88910769165886,32.04807939390944,-94.84465814490913,1616
16,5,2,437.22750748284267,309.80964629220125,5.217698330821205,4.4646883302190306,0.7059296070947279,0.3188773228153594,5.3115667407341265,4.100643630957712,7.174807504672788,0.795406105635623,0.504638409927769,5.041253696190719,0.49645291828618265,291.66188590645487,39.24994882610624,-103.61754337472698,1069
17,5,2,437.22750748284267,309.80964629220125,5.217698330821205,4.4646883302190306,0.7059296070947279,0.3188773228153594,5.3115667407341265,4.100643630957712,7.174807504672788,0.795406105635623,0.504638409927769,5.041253696190719,0.49645291828618265,291.66188590645487,39.24994882610624,-103.61754337472698,1069
18,0,5,461.06287383277305,316.0657685953616,5.202010356752869,4.502925545295869,0.7099980017343098,0.3188152017627239,5.155757843722569,4.198933300218732,6.960431323058766,0.8087738156285962,0.5117951984123028,5.103523901815684,0.5023148660549124,301.2781637217409,31.619411105303094,-118.00300438338726,2108
19,0,5,461.06287383277305,316.0657685953616,5.202010356752869,4.502925545295869,0.7099980017343098,0.3188152017627239,5.155757843722569,4.198933300218732,6.960431323058766,0.8087738156285962,0.5117951984123028,5.103523901815684,0.5023148660549124,301.2781637217409,31.619411105303094,-118.00300438338726,2108
20,11,10,468.11013996006545,311.8485571124146,5.376165682360888,4.648662847928127,0.6955645571588907,0.326111604411002,5.049646374256183,4.197556263689164,6.978171449780422,0.8017657674484153,0.5039501472221006,4.852790803123955,0.4825558177818189,296.94308557868914,31.845434714561137,-86.23552925541667,1824
21,17,8,461.86802620685637,313.8207686643452,5.307122288227376,4.546993343894266,0.6979357895859036,0.32426540010461286,5.186624069526783,4.188172401005192,7.083619946054574,0.8005602776737734,0.5018405529098592,4.966276248570039,0.5008364210060559,293.789418297546,31.610671488376248,-71.35263606275498,4386
22,17,8,461.86802620685637,313.8207686643452,5.307122288227376,4.546993343894266,0.6979357895859036,0.32426540010461286,5.186624069526783,4.188172401005192,7.083619946054574,0.8005602776737734,0.5018405529098592,4.966276248570039,0.5008364210060559,293.789418297546,31.610671488376248,-71.35263606275498,4386
23,10,13,473.81239874924114,313.0921749904801,5.2438285197017,4.520493139106728,0.686143059855276,0.3290104580665846,5.129013591862288,4.13319989894104,6.974845417977549,0.8007251781300069,0.4989676784858188,4.921006577777173,0.492737955283802,320.3201976362309,47.194852452829636,-87.73536084583831,1180
24,0,5,461.06287383277305,316.0657685953616,5.202010356752869,4.502925545295869,0.7099980017343098,0.3188152017627239,5.155757843722569,4.198933300218732,6.960431323058766,0.8087738156285962,0.5117951984123028,5.103523901815684,0.5023148660549124,301.2781637217409,31.619411105303094,-118.00300438338726,2108
25,1,1,449.8809813819293,308.033923820356,5.292902313890109,4.550283649892114,0.6992432757562586,0.32573621103265415,5.210982700792553,4.19593690027989,6.904764745115405,0.798075399252801,0.47871030823710925,4.976744602673435,0.4883653208362366,299.113132288429,47.4133934033693,-117.09448793012756,1562
