store_id,product_id,qty,cost,reason_codes
188,596,9.87,721.15,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
74,345,0.72,52.53,['high_delay_probability']
131,223,3.79,276.91,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
18,26,2.88,210.51,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
134,494,6.09,444.79,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
18,691,23.25,1698.73,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
1,104,20.5,1497.87,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
181,300,18.92,1382.26,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
1,769,11.78,860.69,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
118,122,9.61,701.9,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
134,76,5.75,419.82,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
187,478,7.36,537.97,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
1,122,12.74,930.53,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
29,41,5.27,385.13,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
182,143,9.6,701.24,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
131,70,2.88,210.15,['high_delay_probability']
154,310,2.71,197.73,['high_delay_probability']
18,300,24.49,1788.76,['high_delay_probability']
187,496,3.34,244.36,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
118,387,5.13,374.44,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
194,117,15.05,1099.52,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
18,129,11.14,814.14,"['manufacture_to_avoid_stockout', 'safety_stock_violation_prevented', 'high_demand_variability', 'high_delay_probability']"
1,207,5.3,386.83,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
147,23,8.45,617.35,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
188,70,15.93,1163.55,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
183,629,1.79,130.65,['high_delay_probability']
147,41,4.76,347.9,['high_delay_probability']
29,580,1.0,73.4,['high_delay_probability']
183,638,3.94,288.12,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
145,117,12.63,922.56,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
46,4,0.88,64.49,"['high_demand_variability', 'high_delay_probability']"
74,740,3.69,269.56,['high_delay_probability']
134,215,22.9,1672.82,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
196,684,0.04,2.72,"['high_demand_variability', 'high_delay_probability']"
74,578,1.52,111.13,['high_delay_probability']
118,99,4.55,332.05,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
1,90,13.02,951.33,"['manufacture_to_avoid_stockout', 'high_demand_variability', 'high_delay_probability']"
18,21,3.95,288.22,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
118,108,4.71,344.16,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
145,638,6.48,473.41,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
74,596,12.64,923.17,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
118,117,9.73,710.46,['high_delay_probability']
74,834,14.95,1092.31,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
154,58,2.53,184.75,['high_delay_probability']
131,74,1.75,128.19,['high_delay_probability']
46,363,3.38,247.03,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
29,292,1.4,102.06,['high_delay_probability']
187,500,8.23,601.56,"['manufacture_to_avoid_stockout', 'safety_stock_violation_prevented', 'high_demand_variability', 'high_delay_probability']"
196,567,4.29,313.26,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
60,41,6.41,468.56,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
181,578,3.63,265.07,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
118,638,2.02,147.51,['high_delay_probability']
118,220,2.26,165.44,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
181,834,12.2,891.4,"['manufacture_to_avoid_stockout', 'safety_stock_violation_prevented', 'high_delay_probability']"
134,201,4.17,304.7,['high_delay_probability']
60,126,2.5,182.97,['high_delay_probability']
183,215,10.01,731.6,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
74,70,38.4,2804.96,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
194,215,22.46,1640.7,"['manufacture_to_avoid_stockout', 'high_delay_probability']"
